volume_number,title,author,author_wikipedia_link,loa_detail_link,own_volume
390,Speeches & Writings,John Quincy Adams,https://en.wikipedia.org/wiki/John_Quincy_Adams,https://www.loa.org/books/speeches-writings/,
391,Essential Prose,Gary Snyder,https://en.wikipedia.org/wiki/Gary_Snyder,https://www.loa.org/books/essential-prose/,
392,Plays,John Guare,https://en.wikipedia.org/wiki/John_Guare,https://www.loa.org/books/plays/,
393,Lilithâ€™s Brood: The Xenogenesis Trilogy,Octavia E. Butler,https://en.wikipedia.org/wiki/Octavia_E._Butler,https://www.loa.org/books/liliths-brood-the-xenogenesis-trilogy/,
394,The American Short Story: The Nineteenth Century (Volume I),,,https://www.loa.org/books/the-american-short-story-the-nineteenth-century-volume-i/,
395,The American Short Story: The Nineteenth Century (Volume II),,,https://www.loa.org/books/the-american-short-story-the-nineteenth-century-volume-ii/,
396,Civil War Diaries,George Templeton Strong,https://en.wikipedia.org/wiki/George_Templeton_Strong,https://www.loa.org/books/civil-war-diaries/,
397,The Albany Trilogy,William Kennedy,https://en.wikipedia.org/wiki/William_Kennedy,https://www.loa.org/books/the-albany-trilogy/,
398,Encounters in Wild America,John McPhee,https://en.wikipedia.org/wiki/John_McPhee,https://www.loa.org/books/encounters-in-wild-america/,
399,Five Noir Novels of the 1950s & 60s,Jim Thompson,https://en.wikipedia.org/wiki/Jim_Thompson,https://www.loa.org/books/five-noir-novels-of-the-1950s-60s/,
